,data_index,cluster
0,어스퀘이크(진),3
1,아이디얼,7
2,푸른 산호초,1
3,아티,7
4,아비에이션,2
5,애피타이저,6
6,아베이,2
7,아마폴라,9
8,암스테르담,6
9,어라운드 더 월드,6
10,알래스카,7
11,알렉산더스 시스터,8
12,앰버 드림,6
13,위즐리 가든,4
14,웨스턴 로즈,2
15,에이 원,6
16,영광의 마티니,2
17,어텀 리브스,2
18,엔젤 페이스,1
19,오렌지 피즈,4
20,오렌지 블로섬,6
21,카지노,2
22,카페 드 도쿄,2
23,카페 드 파리,7
24,카린,1
25,카루소,1
26,키스 인 더 다크,1
27,깁슨,7
28,김렛,6
29,그린 드래건,9
30,교카,1
31,그린 알래스카,3
32,크로스 보,1
33,클로버 클럽,4
34,골든 스크루,4
35,골든 돈,6
36,골든 슬리퍼,4
37,골든 피즈,4
38,콩카 도라,3
39,자자,1
40,사사미유키,5
41,사파이언 쿨,2
42,섬머 브리즈,6
43,제임스 본드 마티니,7
44,주얼 하우스,6
45,실버 주빌리,7
46,실버 스트리크,7
47,실버 피즈,2
48,실버 불릿,2
49,진 앤드 이트,3
50,진 앤드 비터스,7
51,진 칵테일,2
52,진 코블러,7
53,진 사워,2
54,진 슬링,2
55,진 데이지,2
56,진 토닉,7
57,진 벅,2
58,진 피즈,2
59,진 앤드 라임,2
60,싱가포르 슬링,4
61,스타더스트 리뷰,2
62,스카이 크루즈,2
63,스프링 오페라,6
64,스프링 버드,7
65,세븐스 헤븐 No 1,1
66,세븐스 헤븐 No 2,2
67,더비,7
68,다이너스티,6
69,탕카레 임페리얼,6
70,탕카레 퀸,7
71,탕카레 필드,6
72,탕카레 포레스트,4
73,탱고,9
74,D.O.M 칵테일,6
75,테이크 파이브,4
76,텍사스 피즈,4
77,듀 바리,3
78,듀보네,1
79,톰 콜린스,2
80,드라카르,2
81,네그로니,1
82,녹아웃,3
83,바텐더,3
84,퍼펙트 마티니,1
85,하이드 파크,4
86,파시모 레이디,6
87,버뮤다 로즈,1
88,파라다이스,6
89,파리지앵,1
90,하와이언,6
91,피카딜리 나이트,5
92,피카딜리 파크,6
93,핑크 진,7
94,핑크 레이디,4
95,판타지수타,9
96,피닉스 진 슬링,6
97,포른 엔젤,2
98,블러드 하운드,4
99,브리티시 마치,9
100,프린스턴,1
101,프린세스 메리,8
102,블루 문,2
103,불독 하이볼,4
104,프레셔스 하트,9
105,프렌치75,2
106,플로리다,4
107,브롱크스,9
108,버몬트,5
109,호놀룰루,6
110,호프만 하우스 피즈,2
111,화이트 레이디,2
112,화이트 로즈,9
113,마운트 후지,2
114,마그놀리아 블로섬,2
115,마티니,7
116,미스티,1
117,미스터리 서클,6
118,밀리언 달러,4
119,밀키 웨이,9
120,밀비,7
121,문 리버,9
122,메리 위도,6
123,멜론 스페셜,6
124,요코하마,4
125,라무스 진 피즈,2
126,리틀 위치,5
127,러시안,1
128,레드 스파클,4
129,레드 라이온,6
130,레이디 80,9
131,로열 스마일,6
132,로열 피즈,4
133,로열 로망스,6
134,로드스터,6
135,롱 아일랜드 아이스티,4
136,런던 아이,6
137,런던의 마녀,6
138,아쿠덕트,6
139,아프레 스키,1
140,안젤로,4
141,앰파이넨,1
142,이스트 윙,1
143,보드카 아이스버그,7
144,보드카 애플 주스,8
145,보드카 칵테일,6
146,보드카 깁슨,7
147,보드카 김렛,2
148,보드카 토닉,7
149,보드카 리키,2
150,보드카티니,3
151,S.W.I,6
152,엠 45,6
153,올드 잉글랜드,7
154,옴니아,6
155,카이피로스카,2
156,카운트 스토로가노프,2
157,카미카제,2
158,그루프 스트림,2
159,키스 오브 파이어,6
160,키시 로즈,2
161,키스 미,2
162,그랑프리,6
163,그린 판타지,6
164,그린 필드,8
165,크레치마,6
166,케이프 코더,4
167,골든 스크루,4
168,골든 텅,2
169,코사크,2
170,코스모폴리탄,4
171,갓마더,1
172,콜로니,6
173,시 브리즈,2
174,짚시,7
175,실버 윙,7
176,스크루 드라이버,4
177,스트로베리 필즈,9
178,스노 플레이크,9
179,스매시,4
180,슬러지 해머,7
181,섹스 온 더 비치,4
182,소비에트,3
183,솔티 도그,2
184,턱시도,2
185,타와리시,2
186,치치,2
187,츠아리느,1
188,데로바드,6
189,트로이카,2
190,니노치카,2
191,바바라,8
192,바브드 와이어,3
193,하베이 월벙거,4
194,하이 라이프,9
195,바카라,2
196,패트리샤,1
197,파나세,5
198,바히네,4
199,발라라이카,2
200,벌루션,4
201,판타지아,6
202,페스트루스,3
203,피닉스,9
204,플라잉 그래스 호퍼,3
205,블랙 러시안,3
206,블랙 클라우드,1
207,블러디 시저,5
208,블러디 메리,4
209,블러디 블루,4
210,플라밍고,5
211,플라밍고 레이디,4
212,브루스터 스페셜,1
213,블루 먼데이,7
214,블루 라군,2
215,불 쇼트,5
216,불독,2
217,불렛,2
218,헤어 라이저,6
219,베르니스,6
220,볼가,6
221,볼가 보트만,9
222,폴로네이즈,6
223,화이트 스파이더,7
224,화이트 러시안,8
225,봄버,3
226,마카룬,1
227,머기 블루,4
228,머드 슬라이드,5
229,마릴린 먼로,1
230,멜론 볼,4
231,마루루,4
232,모스코 뮬,2
233,라일라,2
234,러시안,1
235,루나 파크,2
236,뤼팽,4
237,레이크 퀸,1
